name,address,borough,latitude,longitude,station_id
Poplar,"168 East India Dock Road, London, Greater London E14 0BP, UK",Tower Hamlets,51.5108798,-0.0157058,91
Whitechapel,"27 Commercial Road, London Borough of Tower Hamlets, E1, UK",Tower Hamlets,51.5151377,-0.0690679,93
Chingford,"34 The Ridgeway, London, Greater London E4 6QW, UK",Waltham Forest,51.6284753,-0.0059581,94
Leyton,"90 Church Road, London Borough of Waltham Forest, London E10 5JP, UK",Waltham Forest,51.5630084,-0.0158874,95
Leytonstone,"466 High Road, London, Greater London E11 3HN, UK",Waltham Forest,51.560731,0.008567,96
Walthamstow,"343 Forest Road, London, Greater London E17, UK",Waltham Forest,51.5896055,-0.0282657,97
Battersea,"11 Este Road, London, Greater London SW11, UK",Wandsworth,51.466772,-0.1695098,98
Tooting,"91 Trinity Road, London, Greater London SW17, UK",Wandsworth,51.4381207,-0.1626161,99
Wandsworth,"45 West Hill, London, Greater London SW18, UK",Wandsworth,51.4563104,-0.2037278,100
Paddington,"Harrow Road, London, UK",Westminster,51.52070080000001,-0.181137,101
Belsize,"36 Lancaster Grove, London, Greater London NW3 4PB, UK",Camden,51.5454112,-0.1659082,102
Woolwich,"24 Sunbury Street, London, Greater London SE18, UK",Greenwich,51.4921149,0.0576511,103
Kingsland,"333 Kingsland Road, London, Greater London E8, UK",Hackney,51.5401154,-0.0766153,104
Clerkenwell,"44 Rosebery Avenue, London, Greater London EC1R, UK",Islington,51.5231364,-0.1115217,105
Downham,"260 Reigate Road, Bromley, Greater London BR1 5JN, UK",Lewisham,51.4335022,0.0111861,107
Silvertown,"303 North Woolwich Road, London, Greater London E16 2BB, UK",Newham,51.5023385,0.0261255,108
Old Kent Road,"405 Old Kent Road, London, Greater London SE1 5PF, UK",Southwark,51.4856881,-0.0707808,109
Bow,"64 Parnell Road, London, Greater London E3, UK",Tower Hamlets,51.5338303,-0.0266022,110
Westminster,"4 Greycoat Place, London, Greater London SW1P 1SB, UK",Westminster,51.4965762,-0.1348238,111
